circuit_key,circuit_short_name,country_code,country_key,country_name,date_end,date_start,gmt_offset,location,meeting_key,session_key,session_name,session_type,year
63,Sakhir,BRN,36,Bahrain,2024-02-21 16:00:00+00:00,2024-02-21 07:00:00+00:00,03:00:00,Sakhir,1228,9462,Practice 1,Practice,2024
63,Sakhir,BRN,36,Bahrain,2024-02-22 16:00:00+00:00,2024-02-22 07:00:00+00:00,03:00:00,Sakhir,1228,9463,Practice 2,Practice,2024
63,Sakhir,BRN,36,Bahrain,2024-02-23 16:00:00+00:00,2024-02-23 07:00:00+00:00,03:00:00,Sakhir,1228,9464,Practice 3,Practice,2024
63,Sakhir,BRN,36,Bahrain,2024-02-29 12:30:00+00:00,2024-02-29 11:30:00+00:00,03:00:00,Sakhir,1229,9465,Practice 1,Practice,2024
63,Sakhir,BRN,36,Bahrain,2024-02-29 16:00:00+00:00,2024-02-29 15:00:00+00:00,03:00:00,Sakhir,1229,9466,Practice 2,Practice,2024
63,Sakhir,BRN,36,Bahrain,2024-03-01 13:30:00+00:00,2024-03-01 12:30:00+00:00,03:00:00,Sakhir,1229,9467,Practice 3,Practice,2024
63,Sakhir,BRN,36,Bahrain,2024-03-01 17:00:00+00:00,2024-03-01 16:00:00+00:00,03:00:00,Sakhir,1229,9468,Qualifying,Qualifying,2024
63,Sakhir,BRN,36,Bahrain,2024-03-02 17:00:00+00:00,2024-03-02 15:00:00+00:00,03:00:00,Sakhir,1229,9472,Race,Race,2024
149,Jeddah,KSA,153,Saudi Arabia,2024-03-07 14:30:00+00:00,2024-03-07 13:30:00+00:00,03:00:00,Jeddah,1230,9473,Practice 1,Practice,2024
149,Jeddah,KSA,153,Saudi Arabia,2024-03-07 18:00:00+00:00,2024-03-07 17:00:00+00:00,03:00:00,Jeddah,1230,9474,Practice 2,Practice,2024
149,Jeddah,KSA,153,Saudi Arabia,2024-03-08 14:30:00+00:00,2024-03-08 13:30:00+00:00,03:00:00,Jeddah,1230,9475,Practice 3,Practice,2024
149,Jeddah,KSA,153,Saudi Arabia,2024-03-08 18:00:00+00:00,2024-03-08 17:00:00+00:00,03:00:00,Jeddah,1230,9476,Qualifying,Qualifying,2024
149,Jeddah,KSA,153,Saudi Arabia,2024-03-09 19:00:00+00:00,2024-03-09 17:00:00+00:00,03:00:00,Jeddah,1230,9480,Race,Race,2024
10,Melbourne,AUS,5,Australia,2024-03-22 02:30:00+00:00,2024-03-22 01:30:00+00:00,11:00:00,Melbourne,1231,9481,Practice 1,Practice,2024
10,Melbourne,AUS,5,Australia,2024-03-22 06:00:00+00:00,2024-03-22 05:00:00+00:00,11:00:00,Melbourne,1231,9482,Practice 2,Practice,2024
10,Melbourne,AUS,5,Australia,2024-03-23 02:30:00+00:00,2024-03-23 01:30:00+00:00,11:00:00,Melbourne,1231,9483,Practice 3,Practice,2024
10,Melbourne,AUS,5,Australia,2024-03-23 06:00:00+00:00,2024-03-23 05:00:00+00:00,11:00:00,Melbourne,1231,9484,Qualifying,Qualifying,2024
10,Melbourne,AUS,5,Australia,2024-03-24 06:00:00+00:00,2024-03-24 04:00:00+00:00,11:00:00,Melbourne,1231,9488,Race,Race,2024
46,Suzuka,JPN,4,Japan,2024-04-05 03:30:00+00:00,2024-04-05 02:30:00+00:00,09:00:00,Suzuka,1232,9489,Practice 1,Practice,2024
46,Suzuka,JPN,4,Japan,2024-04-05 07:00:00+00:00,2024-04-05 06:00:00+00:00,09:00:00,Suzuka,1232,9490,Practice 2,Practice,2024
46,Suzuka,JPN,4,Japan,2024-04-06 03:30:00+00:00,2024-04-06 02:30:00+00:00,09:00:00,Suzuka,1232,9491,Practice 3,Practice,2024
46,Suzuka,JPN,4,Japan,2024-04-06 07:00:00+00:00,2024-04-06 06:00:00+00:00,09:00:00,Suzuka,1232,9492,Qualifying,Qualifying,2024
46,Suzuka,JPN,4,Japan,2024-04-07 07:00:00+00:00,2024-04-07 05:00:00+00:00,09:00:00,Suzuka,1232,9496,Race,Race,2024
49,Shanghai,CHN,53,China,2024-04-19 04:30:00+00:00,2024-04-19 03:30:00+00:00,08:00:00,Shanghai,1233,9663,Practice 1,Practice,2024
49,Shanghai,CHN,53,China,2024-04-19 08:14:00+00:00,2024-04-19 07:30:00+00:00,08:00:00,Shanghai,1233,9668,Sprint Qualifying,Qualifying,2024
49,Shanghai,CHN,53,China,2024-04-20 03:30:00+00:00,2024-04-20 03:00:00+00:00,08:00:00,Shanghai,1233,9672,Sprint,Race,2024
49,Shanghai,CHN,53,China,2024-04-20 08:00:00+00:00,2024-04-20 07:00:00+00:00,08:00:00,Shanghai,1233,9664,Qualifying,Qualifying,2024
49,Shanghai,CHN,53,China,2024-04-21 09:00:00+00:00,2024-04-21 07:00:00+00:00,08:00:00,Shanghai,1233,9673,Race,Race,2024
151,Miami,USA,19,United States,2024-05-03 17:30:00+00:00,2024-05-03 16:30:00+00:00,-04:00:00,Miami,1234,9497,Practice 1,Practice,2024
151,Miami,USA,19,United States,2024-05-03 21:14:00+00:00,2024-05-03 20:30:00+00:00,-04:00:00,Miami,1234,9502,Sprint Qualifying,Qualifying,2024
151,Miami,USA,19,United States,2024-05-04 16:30:00+00:00,2024-05-04 16:00:00+00:00,-04:00:00,Miami,1234,9506,Sprint,Race,2024
151,Miami,USA,19,United States,2024-05-04 21:00:00+00:00,2024-05-04 20:00:00+00:00,-04:00:00,Miami,1234,9498,Qualifying,Qualifying,2024
151,Miami,USA,19,United States,2024-05-05 22:00:00+00:00,2024-05-05 20:00:00+00:00,-04:00:00,Miami,1234,9507,Race,Race,2024
6,Imola,ITA,13,Italy,2024-05-17 12:30:00+00:00,2024-05-17 11:30:00+00:00,02:00:00,Imola,1235,9508,Practice 1,Practice,2024
6,Imola,ITA,13,Italy,2024-05-17 16:00:00+00:00,2024-05-17 15:00:00+00:00,02:00:00,Imola,1235,9509,Practice 2,Practice,2024
6,Imola,ITA,13,Italy,2024-05-18 11:30:00+00:00,2024-05-18 10:30:00+00:00,02:00:00,Imola,1235,9510,Practice 3,Practice,2024
6,Imola,ITA,13,Italy,2024-05-18 15:00:00+00:00,2024-05-18 14:00:00+00:00,02:00:00,Imola,1235,9511,Qualifying,Qualifying,2024
6,Imola,ITA,13,Italy,2024-05-19 15:00:00+00:00,2024-05-19 13:00:00+00:00,02:00:00,Imola,1235,9515,Race,Race,2024
22,Monte Carlo,MON,114,Monaco,2024-05-24 12:30:00+00:00,2024-05-24 11:30:00+00:00,02:00:00,Monaco,1236,9516,Practice 1,Practice,2024
22,Monte Carlo,MON,114,Monaco,2024-05-24 16:00:00+00:00,2024-05-24 15:00:00+00:00,02:00:00,Monaco,1236,9517,Practice 2,Practice,2024
22,Monte Carlo,MON,114,Monaco,2024-05-25 11:30:00+00:00,2024-05-25 10:30:00+00:00,02:00:00,Monaco,1236,9518,Practice 3,Practice,2024
22,Monte Carlo,MON,114,Monaco,2024-05-25 15:00:00+00:00,2024-05-25 14:00:00+00:00,02:00:00,Monaco,1236,9519,Qualifying,Qualifying,2024
22,Monte Carlo,MON,114,Monaco,2024-05-26 15:00:00+00:00,2024-05-26 13:00:00+00:00,02:00:00,Monaco,1236,9523,Race,Race,2024
23,Montreal,CAN,46,Canada,2024-06-07 18:30:00+00:00,2024-06-07 17:30:00+00:00,-04:00:00,Montréal,1237,9524,Practice 1,Practice,2024
23,Montreal,CAN,46,Canada,2024-06-07 22:00:00+00:00,2024-06-07 21:00:00+00:00,-04:00:00,Montréal,1237,9525,Practice 2,Practice,2024
23,Montreal,CAN,46,Canada,2024-06-08 17:30:00+00:00,2024-06-08 16:30:00+00:00,-04:00:00,Montréal,1237,9526,Practice 3,Practice,2024
23,Montreal,CAN,46,Canada,2024-06-08 21:00:00+00:00,2024-06-08 20:00:00+00:00,-04:00:00,Montréal,1237,9527,Qualifying,Qualifying,2024
23,Montreal,CAN,46,Canada,2024-06-09 20:00:00+00:00,2024-06-09 18:00:00+00:00,-04:00:00,Montréal,1237,9531,Race,Race,2024
15,Catalunya,ESP,1,Spain,2024-06-21 12:30:00+00:00,2024-06-21 11:30:00+00:00,02:00:00,Barcelona,1238,9532,Practice 1,Practice,2024
15,Catalunya,ESP,1,Spain,2024-06-21 16:00:00+00:00,2024-06-21 15:00:00+00:00,02:00:00,Barcelona,1238,9533,Practice 2,Practice,2024
15,Catalunya,ESP,1,Spain,2024-06-22 11:30:00+00:00,2024-06-22 10:30:00+00:00,02:00:00,Barcelona,1238,9534,Practice 3,Practice,2024
15,Catalunya,ESP,1,Spain,2024-06-22 15:00:00+00:00,2024-06-22 14:00:00+00:00,02:00:00,Barcelona,1238,9535,Qualifying,Qualifying,2024
15,Catalunya,ESP,1,Spain,2024-06-23 15:00:00+00:00,2024-06-23 13:00:00+00:00,02:00:00,Barcelona,1238,9539,Race,Race,2024
19,Spielberg,AUT,17,Austria,2024-06-28 11:30:00+00:00,2024-06-28 10:30:00+00:00,02:00:00,Spielberg,1239,9540,Practice 1,Practice,2024
19,Spielberg,AUT,17,Austria,2024-06-28 15:14:00+00:00,2024-06-28 14:30:00+00:00,02:00:00,Spielberg,1239,9545,Sprint Qualifying,Qualifying,2024
19,Spielberg,AUT,17,Austria,2024-06-29 10:30:00+00:00,2024-06-29 10:00:00+00:00,02:00:00,Spielberg,1239,9549,Sprint,Race,2024
19,Spielberg,AUT,17,Austria,2024-06-29 15:00:00+00:00,2024-06-29 14:00:00+00:00,02:00:00,Spielberg,1239,9541,Qualifying,Qualifying,2024
